_Data,Most watched episode,Season,Season finale,Season premiere,TV season,Year,Year (copy),Avg. Viewers (mil),Episodes,Number of Records,Viewers (mil)
Actual,"""Life on the Fast Lane""",1,5/13/90,12/17/89,1989Ð90,1990,90,27.8,13,1,33.5
Actual,"""Bart Gets an F""",2,7/11/91,10/11/90,1990Ð91,1991,91,24.4,22,1,33.6
Actual,"""Colonel Homer""",3,8/27/92,9/19/91,1991Ð92,1992,92,21.8,24,1,25.5
Actual,"""Lisa's First Word""",4,5/13/93,9/24/92,1992Ð93,1993,93,22.4,22,1,28.6
Actual,"""Treehouse of Horror IV""",5,5/19/94,9/30/93,1993Ð94,1994,94,18.9,22,1,24
Actual,"""Treehouse of Horror V""",6,5/21/95,9/4/94,1994Ð95,1995,95,15.6,25,1,22.2
Actual,"""Treehouse of Horror VI""",7,5/19/96,9/17/95,1995Ð96,1996,96,15.1,25,1,19.7
Actual,"""The Springfield Files""",8,5/18/97,10/27/96,1996Ð97,1997,97,14.5,25,1,20.9
Actual,"""The Two Mrs. Nahasapeemapetilons""",9,5/17/98,9/21/97,1997Ð98,1998,98,16.3,25,1,19.8
Estimated,"""Maximum Homerdrive""",10,5/16/99,8/23/98,1998Ð99,1999,99,15.9,23,1,15.5
Estimated,"""The Mansion Family""",11,5/21/00,9/26/99,1999-00,2000,100,15.1,22,1,18.4
Actual,"""Worst Episode Ever""",12,5/20/01,11/1/00,2000Ð01,2001,101,15.5,21,1,18.6
Actual,"""The Parent Rap""",13,5/22/02,11/6/01,2001Ð02,2002,102,12.5,22,1,14.9
Actual,"""I'm Spelling as Fast as I Can""",14,5/18/03,11/3/02,2002Ð03,2003,103,14.4,22,1,22.1
Actual,"""I, (Annoyed Grunt)-Bot""",15,5/23/04,11/2/03,2003Ð04,2004,104,11,22,1,16.3
Actual,"""Homer and Ned's Hail Mary Pass""",16,5/15/05,11/7/04,2004Ð05,2005,105,10.2,21,1,23.1
Actual,"""Treehouse of Horror XVI""",17,5/21/06,9/11/05,2005Ð06,2006,106,9.6,22,1,11.6
Actual,"""The Wife Aquatic""",18,5/20/07,9/10/06,2006Ð07,2007,107,9.2,22,1,13.9
Actual,"""Treehouse of Horror XVIII""",19,5/18/08,9/23/07,2007Ð08,2008,108,8.4,20,1,11.7
Actual,"""Treehouse of Horror XIX""",20,5/17/09,9/28/08,2008Ð09,2009,109,7.1,21,1,12.4
Actual,"""Once Upon a Time in Springfield""",21,5/23/10,9/27/09,2009Ð10,2010,110,7.1,23,1,14.6
Actual,"""Moms I'd Like to Forget""",22,5/22/11,9/26/10,2010Ð11,2011,111,7.1,22,1,12.6
Actual,"""The D'oh-cial Network""",23,5/20/12,9/25/11,2011Ð12,2012,112,6.2,22,1,11.5
Actual,"""Homer Goes to Prep School""",24,5/19/13,9/30/12,2012Ð13,2013,113,5.4,22,1,9
Actual,"""Steal This Episode""",25,5/18/14,9/29/13,2013Ð14,2014,114,5,22,1,12